"Student.ID","Term.Code","Term.UG.MU.Earned.CrHr","Term.UG.Overall.Earned.CrHr..MU.and.Non.MU.","Cum.UG.Overall.Earned.CrHr..MU.and.Non.MU.","Student ID"
8281767,202415,3,3,120,NA
8281767,202420,14,14,134,NA
8281982,202010,17,23,23,NA
8281982,202020,15,15,38,NA
8281982,202110,15,15,53,NA
8281982,202120,12,12,65,NA
8281982,202210,16,16,81,NA
8281982,202220,14,14,95,NA
8281982,202310,15,18,113,NA
8281982,202320,13,13,126,NA
8282747,202010,15,50,50,NA
8282747,202020,15,15,65,NA
8282747,202110,15,15,80,NA
8282747,202115,3,3,83,NA
8282747,202120,17,17,100,NA
8282747,202210,15,15,115,NA
8282747,202215,3,3,118,NA
8282747,202220,15,15,133,NA
8282747,202310,3,3,136,NA
8282747,202315,0,0,136,NA
8282747,202320,0,0,136,NA
8282974,202010,17,17,17,NA
8282974,202020,16,16,33,NA
8282974,202110,15,15,48,NA
8282974,202120,12,12,60,NA
8282974,202130,3,3,63,NA
8282974,202210,15,15,78,NA
8282974,202220,15,15,93,NA
8282974,202310,17,17,110,NA
8282974,202320,14,14,124,NA
8283170,202010,15,20,20,NA
8283170,202020,14,14,34,NA
8283170,202110,16,16,50,NA
8283170,202120,15,15,65,NA
8283170,202210,13,13,78,NA
8283170,202215,3,3,81,NA
8283170,202220,15,15,96,NA
8283170,202310,15,15,111,NA
8283170,202315,3,3,114,NA
8283170,202320,15,15,129,NA
8283359,202010,16,28,28,NA
8283359,202015,3,3,31,NA
8283359,202020,15,15,46,NA
8283359,202110,15,15,61,NA
8283359,202115,3,3,64,NA
8283359,202120,15,15,79,NA
8283359,202210,15,15,94,NA
8283359,202215,3,3,97,NA
8283359,202220,15,15,112,NA
8283359,202310,13,13,125,NA
8283359,202315,6,6,131,NA
8283359,202320,12,12,143,NA
8283387,202010,17,30,30,NA
8283387,202020,15,15,45,NA
8283387,202110,16,16,61,NA
8283387,202120,17,17,78,NA
8283387,202130,9,9,87,NA
8283387,202210,15,15,102,NA
8283387,202220,18,18,120,NA
8283387,202310,18,18,138,NA
8283387,202320,15,15,153,NA
8283387,202410,0,0,153,NA
8283387,202415,0,0,153,NA
8283387,202420,0,0,153,NA
8284065,202010,15,53,53,NA
8284065,202020,16,16,69,NA
8284065,202110,15,15,84,NA
8284065,202120,15,15,99,NA
8284065,202210,18,18,117,NA
8284065,202220,0,16,133,NA
8284065,202310,12,12,145,NA
8284065,202320,13,13,158,NA
8284203,202010,10,34,34,NA
8284203,202020,15,15,49,NA
8284203,202110,14,14,63,NA
8284203,202120,14,14,77,NA
8284203,202210,15,15,92,NA
8284203,202220,16,16,108,NA
8284203,202310,15,15,123,NA
8284203,202320,12,12,135,NA
8284510,202010,16,16,16,NA
8284510,202020,17,17,33,NA
8284510,202110,18,18,51,NA
8284510,202120,16,16,67,NA
8284510,202210,21,21,88,NA
8284510,202220,21,21,109,NA
8284510,202230,0,3,112,NA
8284510,202310,20,20,132,NA
8284510,202320,18,18,150,NA
8284604,202010,16,16,16,NA
8284604,202020,17,17,33,NA
8284604,202110,15,15,48,NA
8284604,202210,17,17,65,NA
8284604,202220,17,17,82,NA
8284604,202230,0,0,82,NA
8284604,202310,17,17,99,NA
8284604,202320,15,15,114,NA
8284604,202330,0,0,114,NA
8284604,202410,19,19,133,NA
8284681,202010,17,43,43,NA
8284681,202020,16,16,59,NA
8284681,202030,3,3,62,NA
8284681,202110,16,16,78,NA
8284681,202120,16,16,94,NA
8284681,202130,3,3,97,NA
8284681,202210,15,15,112,NA
8284681,202220,16,16,128,NA
8284681,202310,15,15,143,NA
8284681,202315,6,6,149,NA
8284681,202320,12,12,161,NA
8285262,202010,18,133,133,NA
8285262,202020,18,18,151,NA
8285262,202110,18,18,169,NA
8285262,202120,18,18,187,NA
8285262,202210,14,14,201,NA
8285262,202220,12,12,213,NA
8285592,202010,17,40,40,NA
8285592,202020,15,15,55,NA
8285592,202110,15,15,70,NA
8285592,202120,15,15,85,NA
8285592,202210,12,12,97,NA
8285592,202220,0,0,97,NA
8285592,202310,0,0,97,NA
8285592,202320,0,0,97,NA
8286290,202010,15,55,55,NA
8286290,202020,14,14,69,NA
8286290,202110,14,14,83,NA
8286290,202120,16.5,16.5,99.5,NA
8286290,202210,15,15,114.5,NA
8286290,202220,12,12,126.5,NA
8286290,202310,12,15,141.5,NA
8286290,202320,12,12,153.5,NA
8286362,202010,16,37,37,NA
8286362,202020,15,15,52,NA
8286362,202110,16,16,68,NA
8286362,202120,14,14,82,NA
8286362,202210,15,15,97,NA
8286362,202215,3,3,100,NA
8286362,202220,15,15,115,NA
8286362,202310,0,16,131,NA
8286362,202315,3,3,134,NA
8286362,202320,18,18,152,NA
8286386,202010,15,39,39,NA
8286386,202015,3,3,42,NA
8286386,202020,14,14,56,NA
8286386,202030,3,3,59,NA
8286386,202110,16,16,75,NA
8286386,202120,15,15,90,NA
8286386,202210,15,15,105,NA
8286386,202220,18,18,123,NA
8286386,202310,16,16,139,NA
8286386,202320,12,12,151,NA
8286870,202010,17,44,44,NA
8286870,202020,15,15,59,NA
8286870,202110,15,15,74,NA
8286870,202120,15,15,89,NA
8286870,202210,15,15,104,NA
8286870,202215,3,3,107,NA
8286870,202220,15,15,122,NA
8286870,202310,0,0,122,NA
8286870,202315,0,0,122,NA
8286870,202320,0,0,122,NA
8287137,202010,16,47,47,NA
8287137,202020,15,15,62,NA
8287137,202110,15,15,77,NA
8287137,202120,15,15,92,NA
8287137,202210,15,15,107,NA
8287137,202220,15,15,122,NA
8287137,202310,15,15,137,NA
8287137,202320,12,12,149,NA
8287192,202010,15,24,24,NA
8287192,202020,15,15,39,NA
8287192,202110,16,16,55,NA
8287192,202120,15,15,70,NA
8287192,202130,3,3,73,NA
8287192,202210,15,15,88,NA
8287192,202220,15,15,103,NA
8287192,202310,15,15,118,NA
8287192,202315,6,6,124,NA
8287192,202320,12,12,136,NA
8287397,202010,17,29,29,NA
8287397,202015,3,3,32,NA
8287397,202020,14,14,46,NA
8287397,202030,0,3,NA,NA
8287397,202110,16,16,65,NA
8287397,202120,16,16,81,NA
8287397,202210,15,15,96,NA
8287397,202220,0,16,112,NA
8287397,202310,12,12,124,NA
8287397,202320,12,12,136,NA
8287473,202010,14,28,28,NA
8287473,202020,15,15,43,NA
8287473,202030,5,5,48,NA
8287473,202110,16,16,64,NA
8287473,202120,15,15,79,NA
8287473,202130,3,3,82,NA
8287473,202210,12,12,94,NA
8287473,202220,12,12,106,NA
8287473,202310,12,12,118,NA
8287473,202320,12.5,12.5,130.5,NA
8287518,202010,15,48,48,NA
8287518,202020,15,15,63,NA
8287518,202110,15,15,78,NA
8287518,202120,14,14,92,NA
8287518,202210,15,15,107,NA
8287518,202220,12,12,119,NA
8287518,202310,15,15,134,NA
8287518,202320,15,15,149,NA
8287549,202010,18,27,27,NA
8287549,202020,15,15,42,NA
8287549,202110,17,17,59,NA
8287549,202120,18,18,77,NA
8287549,202210,17,17,94,NA
8287549,202220,20,20,114,NA
8287549,202310,15,15,129,NA
8287549,202320,14,14,143,NA
8288226,202010,12,12,12,NA
8288226,202020,15,15,27,NA
8288226,202030,0,5,NA,NA
8288226,202110,15,15,47,NA
8288226,202120,12,12,59,NA
8288226,202130,3,3,62,NA
8288226,202210,15,15,77,NA
8288226,202215,6,6,83,NA
8288226,202220,18,18,101,NA
8288226,202310,15,15,116,NA
8288226,202320,12,12,128,NA
8288383,202010,15,29,29,NA
8288383,202015,3,3,32,NA
8288383,202020,15,15,47,NA
8288383,202030,6,6,53,NA
8288383,202110,17,20,73,NA
8288383,202120,15,15,88,NA
8288383,202210,17,17,105,NA
8288383,202215,3,3,108,NA
8288383,202220,16,16,124,NA
8288383,202310,13,13,137,NA
8288383,202320,12,12,149,NA
8288701,202010,16,83,83,NA
8288701,202020,16,16,99,NA
8288701,202030,3,8,107,NA
8288701,202110,18,18,125,NA
8288701,202120,19,19,144,NA
8288701,202210,18,18,162,NA
8288701,202215,6,6,168,NA
8288701,202220,18,18,186,NA
8288701,202310,0,0,186,NA
8288701,202315,0,0,186,NA
8288701,202320,0,0,186,NA
8289349,202010,15,58,58,NA
8289349,202020,15,15,73,NA
8289349,202110,16,16,89,NA
8289349,202120,15,15,104,NA
8289645,202010,16,76,76,NA
8289645,202020,17,17,93,NA
8289645,202110,17,17,110,NA
8289645,202120,16,16,126,NA
8289645,202210,15,15,141,NA
8289645,202220,12,12,153,NA
8289645,202310,16,16,169,NA
8289645,202320,15,15,184,NA
8289763,202010,13,34,34,NA
8289763,202015,3,3,37,NA
8289763,202020,13,13,50,NA
8289763,202110,15,15,65,NA
8289763,202120,15,15,80,NA
8289763,202210,12,12,92,NA
8289763,202215,3,3,95,NA
8289763,202220,12,12,107,NA
8289763,202310,15,15,122,NA
8289763,202315,6,6,128,NA
8289763,202320,14,14,142,NA
8289855,202010,15,27,27,NA
8289855,202020,15,15,42,NA
8289855,202110,15,15,57,NA
8289855,202120,15,15,72,NA
8289855,202210,15,15,87,NA
8289855,202215,3,3,90,NA
8289855,202220,12,12,102,NA
8289855,202230,3,3,105,NA
8289855,202310,15,15,120,NA
8289855,202315,6,6,126,NA
8289855,202320,12,12,138,NA
8290249,202010,12,19,19,NA
8290249,202020,13,13,32,NA
8290249,202030,8,8,40,NA
8290249,202110,12,12,52,NA
8290249,202115,3,3,55,NA
8290249,202120,15,15,70,NA
8290249,202130,3,8,78,NA
8290249,202210,12,12,90,NA
8290249,202215,3,3,93,NA
8290249,202220,13,13,106,NA
8290249,202230,3,3,109,NA
8290249,202310,12,12,121,NA
8290249,202315,3,3,124,NA
8290249,202320,15,15,139,NA
8290249,202330,9,9,148,NA
8290276,202010,17,52,52,NA
8290276,202020,18,18,70,NA
8290276,202110,17,17,87,NA
8290276,202120,19,19,106,NA
8290276,202210,15,15,121,NA
8290276,202220,16,16,137,NA
8290276,202310,17,17,154,NA
8290276,202315,3,3,157,NA
8290276,202320,12,12,169,NA
8290339,202010,14,20,20,NA
8290339,202020,17,17,37,NA
8290339,202110,16,16,53,NA
8290339,202120,15,15,68,NA
8290339,202130,3,3,71,NA
8290339,202210,17,20,91,NA
8290339,202215,3,3,94,NA
8290339,202220,15,15,109,NA
8290339,202230,0,0,109,NA
8290339,202310,14,14,123,NA
8290339,202320,13,13,136,NA
8290855,202010,15,24,24,NA
8290855,202020,15,15,39,NA
8290855,202110,15,15,54,NA
8290855,202120,15,15,69,NA
8290855,202210,15,15,84,NA
8290855,202220,18,18,102,NA
8290855,202310,15,15,117,NA
8290855,202320,15,15,132,NA
8291190,202010,16,37,37,NA
8291190,202020,15,15,52,NA
8291190,202110,18,18,70,NA
8291190,202120,18,18,88,NA
8291190,202210,15,15,103,NA
8291190,202220,12,12,115,NA
8291190,202310,12,12,127,NA
8291190,202320,10,10,137,NA
8291384,202010,17,64,64,NA
8291384,202020,16,16,80,NA
8291384,202110,16,16,96,NA
8291384,202120,15,15,111,NA
8291384,202210,15,15,126,NA
8291384,202215,3,3,129,NA
8291384,202220,15,15,144,NA
8291384,202230,1,1,145,NA
8291384,202310,15,15,160,NA
8291591,202010,16,42,42,NA
8291591,202020,15,15,57,NA
8291591,202110,15,15,72,NA
8291591,202120,15,15,87,NA
8291591,202210,14,14,101,NA
8291591,202215,6,6,107,NA
8291591,202220,18,18,125,NA
8292332,202010,17,36,36,NA
8292332,202020,17,17,53,NA
8292332,202110,15,15,68,NA
8292332,202120,15,15,83,NA
8292332,202210,16,16,99,NA
8292332,202215,3,3,102,NA
8292332,202220,15,15,117,NA
8292332,202230,3,3,120,NA
8292332,202310,18,18,138,NA
8292332,202320,19,19,157,NA
8292442,202010,16,22,22,NA
8292442,202020,14,14,36,NA
8292442,202110,18,18,54,NA
8292442,202115,2,2,56,NA
8292442,202120,17,17,73,NA
8292442,202210,17,17,90,NA
8292442,202215,3,3,93,NA
8292442,202220,16,16,109,NA
8292442,202310,15,15,124,NA
8292442,202315,3,3,127,NA
8292442,202320,13,13,140,NA
8292446,202010,15,46,46,NA
8292446,202020,17,17,63,NA
8292446,202110,12,12,75,NA
8292446,202120,12,12,87,NA
8292446,202210,15,15,102,NA
8292446,202220,15,15,117,NA
8292446,202310,12,12,129,NA
8292446,202315,6,6,135,NA
8292446,202320,12,12,147,NA
8293553,202010,16,36,36,NA
8293553,202020,15,15,51,NA
8293553,202110,16,16,67,NA
8293553,202120,17,17,84,NA
8293553,202210,15,15,99,NA
8293553,202215,3,3,102,NA
8293553,202220,12,12,114,NA
8293553,202230,3,3,117,NA
8293553,202310,14,14,131,NA
8293553,202320,12,12,143,NA
8293617,202010,15,30,30,NA
8293617,202020,15,15,45,NA
8293617,202110,17,17,62,NA
8293617,202115,3,3,65,NA
8293617,202120,15,15,80,NA
8293617,202210,18,18,98,NA
8293617,202215,6,6,104,NA
8293617,202220,15,15,119,NA
8293617,202310,12,12,131,NA
8293617,202320,9,9,140,NA
8293789,202010,17,33,33,NA
8293789,202020,16,16,49,NA
8293789,202030,3,3,52,NA
8293789,202110,17,17,69,NA
8293789,202120,15,15,84,NA
8293789,202130,3,3,87,NA
8293789,202210,12,12,99,NA
8293789,202215,6,6,105,NA
8293789,202220,18,18,123,NA
8293789,202310,12.5,12.5,135.5,NA
8293789,202320,12,12,147.5,NA
8293990,202010,15,44,44,NA
8293990,202015,3,3,47,NA
8293990,202020,15,15,62,NA
8293990,202110,15,15,77,NA
8293990,202120,15,15,92,NA
8293990,202210,12,12,104,NA
8293990,202215,3,3,107,NA
8293990,202220,15,15,122,NA
8293990,202310,3,3,125,NA
8293990,202315,0,0,125,NA
8293990,202320,0,0,125,NA
8294257,202010,15,26,26,NA
8294257,202020,15,15,41,NA
8294257,202110,15,15,56,NA
8294257,202120,15,15,71,NA
8294257,202210,15,15,86,NA
8294257,202215,3,3,89,NA
8294257,202220,12,12,101,NA
8294257,202310,12,12,113,NA
8294257,202320,12,12,125,NA
8294329,202010,16,31,31,NA
8294329,202020,11,11,42,NA
8294329,202110,15,15,57,NA
8294329,202120,15,15,72,NA
8294329,202210,12,12,84,NA
8294329,202220,15,15,99,NA
8294329,202310,12,12,111,NA
8294329,202320,12,12,123,NA
8294533,202010,15,39,39,NA
8294533,202020,14,14,53,NA
8294533,202110,14,14,67,NA
8294533,202120,13,13,80,NA
8294533,202210,12,12,92,NA
8294533,202220,15,15,107,NA
8294533,202230,3,6,113,NA
8294533,202310,16,16,129,NA
8294533,202320,12,12,141,NA
8294533,202410,13,13,154,NA
8294677,202010,16,42,42,NA
8294677,202020,15,15,57,NA
8294677,202110,16,16,73,NA
8294677,202120,15,15,88,NA
8294677,202210,12,12,100,NA
8294677,202215,6,6,106,NA
8294677,202220,18,18,124,NA
8294785,202010,16,71,71,NA
8294785,202020,18,18,89,NA
8294785,202030,3,3,92,NA
8294785,202110,17,17,109,NA
8294785,202120,18,18,127,NA
8294785,202210,15,15,142,NA
8294785,202220,16,16,158,NA
8294785,202310,13,13,171,NA
8294785,202320,12.5,12.5,183.5,NA
8295097,202010,15,42,42,NA
8295097,202020,15,15,57,NA
8295097,202110,15,15,72,NA
8295097,202120,15,15,87,NA
8295097,202210,15,15,102,NA
8295097,202215,0,3,105,NA
8295097,202220,9,9,114,NA
8295097,202310,15,15,129,NA
8295097,202320,12,12,141,NA
8295458,202010,16,46,46,NA
8295458,202020,13,13,59,NA
8295458,202030,3,3,62,NA
8295458,202110,0,0,62,NA
8295458,202120,8,8,70,NA
8295572,202010,16,54,54,NA
8295572,202020,14,14,68,NA
8295572,202030,0,6,NA,NA
8295572,202110,15,15,89,NA
8295572,202120,15,15,104,NA
8295572,202130,6,6,110,NA
8295572,202210,16,16,126,NA
8295572,202220,15,15,141,NA
8295572,202310,15,15,156,NA
8295572,202320,12,12,168,NA
8295624,202010,15,35,35,NA
8295624,202020,15,15,50,NA
8295624,202030,3,6,56,NA
8295624,202110,15,15,71,NA
8295624,202115,3,3,74,NA
8295624,202120,15,15,89,NA
8295624,202210,15,15,104,NA
8295624,202215,3,3,107,NA
8295624,202220,15,15,122,NA
8295624,202310,9,9,131,NA
8296019,202010,13,13,13,NA
8296019,202020,14,14,27,NA
8296019,202110,15,15,42,NA
8296019,202120,15,15,57,NA
8296019,202210,15,15,72,NA
8296019,202215,3,3,75,NA
8296019,202220,15,15,90,NA
8296019,202310,15,15,105,NA
8296019,202320,14,14,119,NA
8296091,202010,15,27,27,NA
8296091,202020,15,15,42,NA
8296091,202110,15,15,57,NA
8296091,202120,15,15,72,NA
8296091,202210,12,12,84,NA
8296091,202215,3,3,87,NA
8296091,202220,15,15,102,NA
8296091,202230,3,3,105,NA
8296091,202310,15,15,120,NA
8296091,202320,12,12,132,NA
8304284,202010,15,21,21,NA
8304284,202020,11,11,32,NA
8304284,202110,17,17,49,NA
8304284,202120,16,16,65,NA
8304284,202210,15,15,80,NA
8304284,202220,15,15,95,NA
8304284,202310,15,15,110,NA
8304284,202320,15,15,125,NA
8304959,202210,15,65,65,NA
8304959,202220,16,16,81,NA
8304959,202310,15,15,96,NA
8304959,202320,16,16,112,NA
8304959,202410,0,15,127,NA
8304959,202420,15,15,142,NA
8304959,202510,NA,NA,142,NA
8305176,202010,15,18,18,NA
8305176,202015,3,3,21,NA
8305176,202020,13,13,34,NA
8305176,202030,5,5,39,NA
8305176,202110,15,15,54,NA
8305176,202120,13,13,67,NA
8305176,202210,17,17,84,NA
8305176,202220,15,15,99,NA
8305176,202230,3,3,102,NA
8305176,202310,15,15,117,NA
8305176,202320,10,10,127,NA
8305176,202410,9,9,136,NA
8305176,202420,15,15,151,NA
8305468,202010,14,64,64,NA
8305468,202020,16,16,80,NA
8305468,202110,14,14,94,NA
8305468,202115,3,3,97,NA
8305468,202120,15,15,112,NA
8305468,202210,15,15,127,NA
8305468,202220,12,12,139,NA
8305795,202110,17,50,50,NA
8305795,202115,3,3,53,NA
8305795,202120,19,19,72,NA
8305795,202210,19,19,91,NA
8305795,202215,6,6,97,NA
8305795,202220,18,18,115,NA
8305795,202230,8,8,123,NA
8305795,202310,15,15,138,NA
8305795,202320,15,15,153,NA
8305795,202330,1,1,154,NA
8305795,202410,15,15,169,NA
8305795,202420,15.5,15.5,184.5,NA
8309047,201910,15,15,15,NA
8309047,201920,17,17,32,NA
8309047,202010,20,20,52,NA
8309047,202020,19,19,71,NA
8309047,202110,21,21,92,NA
8309047,202120,15,15,107,NA
8309047,202210,15,15,122,NA
8309047,202220,12,12,134,NA
8309126,201910,12,12,12,NA
8309126,201920,17,17,29,NA
8309126,202010,14,14,43,NA
8309126,202020,19,19,62,NA
8309126,202110,15,15,77,NA
8309126,202120,18,18,95,NA
8309126,202130,9,9,104,NA
8309126,202210,17,17,121,NA
8309126,202220,16,16,137,NA
8309126,202230,0,0,137,NA
8309126,202310,19,25,162,NA
8311146,201910,17,43,43,NA
8311146,201915,3,3,46,NA
8311146,201920,16,16,62,NA
8311146,202010,17,17,79,NA
8311146,202020,0,15,94,NA
8311146,202030,3,3,97,NA
8311146,202110,15,15,112,NA
8311146,202115,3,3,115,NA
8311146,202120,13,13,128,NA
8311146,202210,19,19,147,NA
8311146,202215,4,4,151,NA
8311146,202220,16.5,16.5,167.5,NA
8311871,201910,15,40,40,NA
8311871,201920,16,16,56,NA
8311871,202010,12,12,68,NA
8311871,202015,3,3,71,NA
8311871,202020,15,15,86,NA
8311871,202110,16,16,102,NA
8311871,202120,13,13,115,NA
8311871,202210,12,12,127,NA
8311871,202215,3,3,130,NA
8311871,202220,12,12,142,NA
8313151,201910,17,17,17,NA
8313151,201920,17,17,34,NA
8313151,202010,13,13,47,NA
8313151,202020,3,19,66,NA
8313151,202110,18,18,84,NA
8313151,202120,16,16,100,NA
8313151,202130,0,0,100,NA
8313151,202210,15,15,115,NA
8313151,202220,20,20,135,NA
8313455,201910,15,33,33,NA
8313455,201920,16,16,49,NA
8313455,202010,12,15,64,NA
8313455,202020,16,16,80,NA
8313455,202110,15,15,95,NA
8313455,202120,15,15,110,NA
8313455,202210,12,12,122,NA
8313455,202220,13,13,135,NA
8314453,201910,16,16,16,NA
8314453,201920,20,20,36,NA
8314453,202010,19,19,55,NA
8314453,202020,22,22,77,NA
8314453,202110,21,21,98,NA
8314453,202120,15,15,113,NA
8314453,202210,18,18,131,NA
8314453,202220,14,14,145,NA
8314754,201910,18,18,18,NA
8314754,201920,20,20,38,NA
8314754,202010,18,18,56,NA
8314754,202020,18,18,74,NA
8314754,202030,0,0,74,NA
8314754,202110,20,20,94,NA
8314754,202120,18,18,112,NA
8314754,202130,0,0,112,NA
8314754,202210,15,18,130,NA
8314754,202220,16.5,16.5,146.5,NA
8315620,201910,12,19,19,NA
8315620,201920,0,0,19,NA
8315620,202010,14,14,33,NA
8315620,202015,3,3,36,NA
8315620,202020,15,18,54,NA
8315620,202110,12,12,66,NA
8315620,202115,6,6,72,NA
8315620,202120,12,12,84,NA
8315620,202130,3,3,87,NA
8315620,202210,14,14,101,NA
8315620,202215,3,3,104,NA
8315620,202220,3,3,107,NA
8315620,202310,18,18,125,NA
8317414,201910,12,12,12,NA
8317414,201920,12,12,24,NA
8317414,202010,7,7,31,NA
8317414,202020,14,14,45,NA
8317414,202110,15,15,60,NA
8317414,202120,17,17,77,NA
8317414,202130,15,15,92,NA
8317414,202210,19,19,111,NA
8317414,202220,18,18,129,NA
8317414,202310,18,18,147,NA
8317791,201910,15,41,41,NA
8317791,201920,16,16,57,NA
8317791,202010,12,12,69,NA
8317791,202020,12,12,81,NA
8317791,202110,12,12,93,NA
8317791,202120,13,13,106,NA
8317791,202210,15,15,121,NA
8317791,202220,12,12,133,NA
8318030,201910,16,65,65,NA
8318030,201920,16,16,81,NA
8318030,202010,14,14,95,NA
8318030,202015,3,3,98,NA
8318030,202020,15,15,113,NA
8318030,202110,15,15,128,NA
8318030,202120,15,15,143,NA
8318030,202210,14,14,157,NA
8318030,202215,6,6,163,NA
8318030,202220,16,16,179,NA
8318744,201910,16,42,42,NA
8318744,201920,16,16,58,NA
8318744,202010,16.5,16.5,74.5,NA
8318744,202020,16.5,16.5,91,NA
8318744,202110,15,15,106,NA
8318744,202120,15,15,121,NA
8318744,202210,16,16,137,NA
8318744,202220,15,15,152,NA
8319115,201910,16,43,43,NA
8319115,201920,17,17,60,NA
8319115,202010,15,15,75,NA
8319115,202020,17,17,92,NA
8319115,202110,15,15,107,NA
8319115,202120,12,12,119,NA
8319115,202210,15,15,134,NA
8319115,202220,8,8,142,NA
8319115,202310,0,0,142,NA
8319115,202315,0,0,142,NA
8319115,202320,0,0,142,NA
8319933,201910,16,32,32,NA
8319933,201915,3,3,35,NA
8319933,201920,14,14,49,NA
8319933,202010,15,15,64,NA
8319933,202020,12.5,12.5,76.5,NA
8319933,202030,3,9,85.5,NA
8319933,202110,16,16,101.5,NA
8319933,202115,3,3,104.5,NA
8319933,202120,15,15,119.5,NA
8319933,202210,15,15,134.5,NA
8319933,202220,12,12,146.5,NA
8320803,201910,15,66,66,NA
8320803,201920,16,16,82,NA
8320803,202010,16,16,98,NA
8320803,202015,6,6,104,NA
8320803,202020,15,15,119,NA
8320803,202110,14,14,133,NA
8320803,202120,15,15,148,NA
8320803,202210,0,0,148,NA
8320803,202220,0,0,148,NA
8321660,201910,15,27,27,NA
8321660,201920,15,15,42,NA
8321660,202010,12,12,54,NA
8321660,202015,3,3,57,NA
8321660,202020,14,14,71,NA
8321660,202110,15,15,86,NA
8321660,202120,16,16,102,NA
8321660,202210,18,18,120,NA
8321660,202215,6,6,126,NA
8321660,202220,15,15,141,NA
8321894,201910,16,16,16,NA
8321894,201920,14,14,30,NA
8321894,202010,16,16,46,NA
8321894,202020,15,15,61,NA
8321894,202110,18,18,79,NA
8321894,202120,15,15,94,NA
8321894,202130,0,0,94,NA
8321894,202210,12,12,106,NA
8321894,202220,13.5,13.5,119.5,NA
8323387,201910,16,22,22,NA
8323387,201920,15,15,37,NA
8323387,202010,16,16,53,NA
8323387,202020,15,15,68,NA
8323387,202110,16,16,84,NA
8323387,202120,15,15,99,NA
8323387,202210,12,12,111,NA
8323387,202220,13,13,124,NA
8323830,201910,16,19,19,NA
8323830,201920,15,15,34,NA
8323830,202010,15,15,49,NA
8323830,202020,14,14,63,NA
8323830,202030,3,3,66,NA
8323830,202110,15,15,81,NA
8323830,202120,12,12,93,NA
8323830,202210,16,16,109,NA
8323830,202215,3,3,112,NA
8323830,202220,15,15,127,NA
8324656,201910,16,40,40,NA
8324656,201915,6,6,46,NA
8324656,201920,16,16,62,NA
8324656,201930,3,3,65,NA
8324656,202010,9,9,74,NA
8324656,202015,3,3,77,NA
8324656,202020,16,16,93,NA
8324656,202030,0,0,93,NA
8324656,202110,15,15,108,NA
8324656,202120,9,9,117,NA
8324656,202130,5,5,122,NA
8324656,202210,12,12,134,NA
8324656,202220,16,16,150,NA
8325028,201910,13,43,43,NA
8325028,201920,14,14,57,NA
8325028,202010,16,16,73,NA
8325028,202020,18,18,91,NA
8325028,202110,10,10,101,NA
8325028,202120,17,17,118,NA
8325028,202210,17,17,135,NA
8325028,202220,17,17,152,NA
8325151,201910,18,34,34,NA
8325151,201920,15,15,49,NA
8325151,202010,15,15,64,NA
8325151,202020,14,14,78,NA
8325151,202110,19,19,97,NA
8325151,202120,16,16,113,NA
8325151,202210,14,14,127,NA
8325151,202220,12,12,139,NA
8325151,202310,14,14,153,NA
8325151,202320,12,12,165,NA
8325515,201910,15,15,15,NA
8325515,201920,20,20,35,NA
8325515,202010,19,19,54,NA
8325515,202020,20,20,74,NA
8325515,202110,15,15,89,NA
8325515,202120,19,19,108,NA
8325515,202130,0,0,108,NA
8325515,202210,5,5,113,NA
8325515,202215,0,0,113,NA
8325515,202220,3,3,116,NA
8326128,201910,16,73,73,NA
8326128,201915,3,3,76,NA
8326128,201920,19,19,95,NA
8326128,201930,3,3,98,NA
8326128,202010,16,16,114,NA
8326128,202015,3,3,117,NA
8326128,202020,19,19,136,NA
8326128,202110,16,16,152,NA
8326128,202120,6,6,158,NA
8326128,202210,9,9,167,NA
8326128,202220,3,3,170,NA
8326128,202310,0,0,170,NA
8326382,201910,17,46,46,NA
8326382,201920,16,16,62,NA
8326382,202010,18,18,80,NA
8326382,202020,18,18,98,NA
8326382,202110,18,18,116,NA
8326382,202120,15,15,131,NA
8326382,202210,16,16,147,NA
8326382,202220,12,12,159,NA
8327017,201910,15,15,15,NA
8327017,201915,3,3,18,NA
8327017,201920,12,12,30,NA
8327017,202010,15,15,45,NA
8327017,202015,3,3,48,NA
8327017,202020,14,14,62,NA
8327017,202110,15,15,77,NA
8327017,202115,3,3,80,NA
8327017,202120,15,15,95,NA
8327017,202130,3,3,98,NA
8327017,202210,15,15,113,NA
8327017,202215,3,3,116,NA
8327017,202220,12,12,128,NA
8327627,201910,17,46,46,NA
8327627,201920,15,15,61,NA
8327627,202010,15,15,76,NA
8327627,202020,13,13,89,NA
8327627,202030,3,3,92,NA
8327627,202110,12,12,104,NA
8327627,202115,6,6,110,NA
8327627,202120,15,15,125,NA
8327627,202210,12,12,137,NA
8327627,202220,9,9,146,NA
8328843,201910,15,18,18,NA
8328843,201920,16,16,34,NA
8328843,202010,15,15,49,NA
8328843,202015,3,3,52,NA
8328843,202020,14,14,66,NA
8328843,202110,15,15,81,NA
8328843,202120,15,15,96,NA
8328843,202210,12,12,108,NA
8328843,202215,2,2,110,NA
8328843,202220,15,15,125,NA
8328875,201910,14,39,39,NA
8328875,201920,15,15,54,NA
8328875,202010,16,16,70,NA
8328875,202020,15,15,85,NA
8328875,202110,15,15,100,NA
8328875,202120,15,15,115,NA
8328875,202210,15,15,130,NA
8328875,202220,15,15,145,NA
8329214,201910,15,38,38,NA
8329214,201920,15,15,53,NA
8329214,202010,16,16,69,NA
